deptid,reasonid,department,reason,deptshort,good,NumberHits,childid,first_name,familyid,last_name,age,divorcedparents,addressid1,Street,number,city,country,iso2Country,iso3Country,eu,addressid2,street2,number2
256,3876,Affective Empathy Analysis Department,Not listening to parents,AEAD,N,175,111134,Linn,428092,Geratt,7,0,349092,Golf View Place,77,Minami-rinkan,Japan,JP,JPN,N,,,
256,3875,Affective Empathy Analysis Department,Repetitive tantrums,AEAD,N,201,110724,Cully,427824,O'Luby,18,0,348824,Northview Lane,48,Campelos,Portugal,PT,PRT,Y,,,
101,1002,Scholar Behavior Analysis Department,Bullying peers,SBAD,N,194,102680,Laurena,422874,Shambrooke,4,0,343874,Service Center,88,Petaluma,United States,US,USA,N,,,
256,3878,Affective Empathy Analysis Department,Disregard for rules,AEAD,N,183,113962,Rhett,429810,Coneybeare,14,0,350810,Continental Hill,185,Cannes,France,FR,FRA,Y,,,
101,1003,Scholar Behavior Analysis Department,Disrespect teachers,SBAD,N,179,102914,Wilbert,423018,Yendall,5,1,344018,West Way,220,Olympia,United States,US,USA,N,,,
101,1004,Scholar Behavior Analysis Department,Ditching classes,SBAD,N,166,104540,Giustino,424036,Tupie,2,1,345036,Tomscot Street,16,Albuquerque,United States,US,USA,N,,,
101,1003,Scholar Behavior Analysis Department,Disrespect teachers,SBAD,N,179,103047,Stacey,423104,Blindt,7,0,344104,Blackbird Parkway,44,Hevlín,Czech Republic,CZ,CZE,Y,,,
123,2409,Dietary Intake Analysis Department,Snacking between meals,DIAD,N,170,108697,Gilligan,426596,Jobbings,6,1,347596,Killdeer Avenue,73,Amsterdam Noord west,Netherlands,NL,NLD,Y,787149,Evergreen Road,181
101,1001,Scholar Behavior Analysis Department,Bad scores,SBAD,N,174,101010,Sherry,421857,Latliff,16,0,342857,Loomis Lane,112,Hamar,Norway,NO,NOR,N,,,
256,3877,Affective Empathy Analysis Department,Room messed up,AEAD,N,179,112252,Stanislas,428767,Malley,11,1,349767,Meadow Ridge Pass,231,Opinogóra Górna,Poland,PL,POL,Y,787419,Bluestem Road,149
101,1001,Scholar Behavior Analysis Department,Bad scores,SBAD,N,174,101132,Kristien,421937,Folks,4,0,342937,Forest Run Junction,126,Tamra,Israel,IL,ISR,N,,,
101,1004,Scholar Behavior Analysis Department,Ditching classes,SBAD,N,166,104939,Mirabelle,424269,Du Fray,2,0,345269,Duke Court,108,Leipzig,Germany,DE,DEU,Y,,,
123,2409,Dietary Intake Analysis Department,Snacking between meals,DIAD,N,170,109150,Reagan,426868,Forrington,2,0,347868,Forster Parkway,37,Laspezia,Italy,IT,ITA,Y,,,
101,1003,Scholar Behavior Analysis Department,Disrespect teachers,SBAD,N,179,103898,Guillemette,423637,Piggrem,10,0,344637,Pennsylvania Pass,172,Feteira Pequena,Portugal,PT,PRT,Y,,,
256,3877,Affective Empathy Analysis Department,Room messed up,AEAD,N,179,112623,Matteo,428986,Spendlove,12,0,349986,Stang Hill,249,Miami,United States,US,USA,N,,,
123,2407,Dietary Intake Analysis Department,Not eating veggies,DIAD,N,190,106732,Cybil,425366,Rash,13,0,346366,Raven Trail,161,Fuenlabrada,Spain,ES,ESP,Y,,,
123,2407,Dietary Intake Analysis Department,Not eating veggies,DIAD,N,190,106270,Archibaldo,425083,Hedge,14,0,346083,Holmberg Way,108,Leeuwarden,Netherlands,NL,NLD,Y,,,
256,3876,Affective Empathy Analysis Department,Not listening to parents,AEAD,N,175,112148,Isabelle,428705,Caldow,16,0,349705,Cambridge Hill,208,Marttila,Finland,FI,FIN,Y,,,
