childid,first_name,familyid,age,misbehaviorindex
100345,Gerick,421456,3,0.0006857936
100346,Hew,421456,10,0.7316219715
100347,Addy,421457,9,0.0042275557
100348,Lawry,421458,4,0.0254773971
100349,Cheslie,421459,14,0.5086229616
100350,Boigie,421460,17,0.0345752532
100351,Delphine,421461,8,0.8440024329
100352,Chance,421462,12,0.0119356605
100353,Jobey,421462,14,0.0003705072
100354,Kristoforo,421462,4,0.0018870908
100355,Adora,421463,13,0.2010141624
100356,Ravid,421463,15,3.0513358E-6
100357,Putnam,421464,11,0.0040073512
100358,Natalie,421464,9,0.0227334736
100359,Pattin,421464,3,1.442011E-9
100360,Sapphire,421465,1,0.0486831883
100361,Ingrim,421466,15,2.5186946E-7
100362,Sutherland,421466,13,0.85215092
100363,Nell,421466,6,0.5819751691
100364,Jacinthe,421467,4,0.0467898802
100365,Pamela,421467,3,2.2848233E-7
100366,Brennen,421468,16,0.5834771268
100367,Gay,421468,12,0.0037341877
100368,Elisabet,421469,4,4.2214527E-8
100369,Cyndie,421469,18,0.0175437701
100370,Sherrie,421470,12,0.000594261
100371,Karie,421471,9,0.3660880846
100372,Ameline,421472,12,0.066419701
100373,Troy,421473,12,0.0000363419
100374,Joshuah,421473,18,0.0005041569
100375,Nevsa,421474,5,0.0001303227
100376,Opaline,421474,7,0.5709561947
100377,Issy,421475,4,2.996719E-12
100378,Vinson,421475,14,0.0005732704
100379,Bliss,421475,4,0.1782318101
100380,Cherrita,421476,9,0.8999742053
100381,Krystyna,421477,14,0.0289468035
100382,Jacklyn,421477,15,0.9841241071
100383,Rana,421477,16,8.5063581E-7
100384,Pauly,421478,16,0.0734008477
100385,Holly,421478,9,0.7640597856
100386,Melantha,421479,6,0.679420548
100387,Harmonie,421479,7,0.0005872782
100388,Wanids,421480,7,0.4195855728
100389,Lindsay,421480,6,0.0000185955
100390,Berta,421481,15,0.0153593815
100391,Nolly,421481,4,0.0000229176
100392,Berkeley,421481,17,0.0118732578
100393,Herman,421482,12,0.6911208259
100394,Merrilee,421483,9,0.5387209065
100395,Pier,421484,10,0.0251250481
100396,Kailey,421484,14,0.6865185599
100397,Hadley,421485,12,0.2922384979
100398,Vittoria,421485,6,0.0002506005
100399,Paquito,421486,4,0.5186769789
100400,Grange,421487,5,0.0006991915
100401,Cash,421487,5,0.8927456907
100402,Christoph,421488,6,0.5507022152
100403,Yvor,421488,11,0.686490324
100404,Robenia,421489,1,0.5226165108
100405,Melody,421489,3,0.7482727441
100406,Angil,421490,14,0.0013718191
100407,Alvis,421491,11,0.0217313413
100408,Hayward,421491,7,0.0018676813
100409,Florencia,421492,14,0.0014094677
100410,Niles,421493,13,0.0000148551
100411,Kerianne,421493,4,0.0056529026
100412,Gideon,421493,8,0.0177760082
100413,Lizzie,421494,8,0.7413202874
100414,Michel,421495,15,0.0038553128
100415,Trina,421496,9,6.9513968E-6
100416,Colby,421497,18,0.0000966672
100417,Glynis,421498,1,0.9184534142
100418,Upton,421499,11,0.9564338609
100419,Ronnie,421499,4,0.2338750786
100420,Annis,421499,10,0.0028572179
100421,Thea,421500,4,0.0040747541
100422,Nikolaos,421501,5,0.004606892
100423,Tirrell,421501,17,2.3451725E-8
100424,Damara,421502,9,0.6940538389
100425,Erinn,421503,17,0.5454624429
100426,Gerti,421503,0,0.0006534596
100427,Skelly,421504,13,0.1635739316
100428,Misti,421505,6,0.0015987136
100429,Boyd,421505,14,0.2020025413
100430,Mendie,421506,0,0.0023590751
100431,Karen,421507,3,0.0010031628
100432,Arabel,421507,5,0.9509506143
100433,Gordy,421508,13,0.0053747631
100434,Gwenny,421508,9,0.121117282
100435,Vladamir,421509,3,0.0831197518
100436,Leonanie,421509,17,0.0000367689
100437,Boony,421510,8,0.0191355917
100438,Timmi,421510,0,6.1845303E-7
100439,Thalia,421511,4,0.0580536249
100440,Jeniece,421511,7,0.7281108955
100441,Marius,421512,10,0.3177365315
100442,Carlene,421512,9,0.0001857457
100443,Cordula,421513,5,0.0100802578
100444,Robinson,421513,1,0.0219284798
100445,Nertie,421514,2,0.0725766228
100446,Guinna,421514,1,0.1136026123
100447,Woody,421515,11,0.4449010829
100448,Woody,421515,14,0.0051088861
100449,Jdavie,421516,13,0.0000413796
100450,Sebastian,421516,8,0.0002427322
100451,Ralph,421517,11,0.0705211434
100452,Hanson,421518,17,0.0037450653
100453,Kaia,421518,16,0.0006021046
100454,Tiertza,421519,4,0.5014795745
100455,Granger,421520,10,0.7674435325
100456,Gipsy,421521,9,0.0299937903
100457,Vi,421521,5,0.0050699908
100458,Corliss,421522,18,0.0617328175
100459,Alfred,421522,8,0.0229628563
100460,Mareah,421523,0,0.0025647094
100461,Rica,421524,16,0.0022621676
100462,Lonnard,421524,15,0.0010582153
100463,Siusan,421525,8,0.1815229707
100464,Jemie,421525,3,0.0135647946
100465,Britt,421526,1,0.2127371095
100466,Cissy,421526,2,0.0000276509
100467,Marianne,421527,14,0.0000854415
100468,Arly,421528,1,0.0041558988
100469,Cindra,421529,4,0.1184165431
100470,Benny,421529,7,0.5371681041
