familyid,last_name,divorcedparents
421456,Cave,1
421457,Pinner,0
421458,Catterall,0
421459,Whistlecroft,0
421460,Deeks,0
421461,Sighard,0
421462,Sola,1
421463,Stirland,0
421464,Pillman,0
421465,Jannaway,0
421466,Vaney,0
421467,Lodwick,0
421468,Hairyes,1
421469,Tenbrug,0
421470,Pfeffle,0
421471,Reimer,0
421472,Forcade,0
421473,Arman,0
421474,McGilvary,1
421475,Cobbin,1
421476,Elwyn,0
421477,Bunford,0
421478,Baigent,1
421479,Beel,0
421480,Noye,0
421481,Dubble,1
421482,Cressar,0
421483,Tytherton,0
421484,Melloy,0
421485,Reucastle,0
421486,Matthias,1
421487,Saxon,0
421488,Budgett,0
421489,Priver,0
421490,Gergler,0
421491,Stores,0
421492,Geelan,0
421493,Bridywater,0
421494,Tregensoe,0
421495,Megainey,0
421496,Heskey,0
421497,Fazakerley,0
421498,Rawsthorne,1
421499,McNab,0
421500,Treleaven,0
421501,Folli,0
421502,Forcade,0
421503,Dominique,0
421504,Gilling,0
421505,Houseley,1
421506,Liccardo,1
421507,Kirmond,1
421508,Wakeham,1
421509,Maeer,0
421510,Vardon,0
421511,Solland,0
421512,Chiles,0
421513,Spedroni,0
421514,Dax,0
421515,Phin,0
421516,Grandison,0
421517,Kubacki,0
421518,Sherrington,1
421519,Kestell,0
421520,Graddell,0
421521,Duer,0
421522,Galtone,1
421523,Spyby,0
421524,Reader,0
421525,Greeve,0
421526,Adkin,0
421527,Hearnes,0
421528,Urlich,0
421529,Shrubb,0
421530,Gillbanks,0
421531,Crowdy,0
421532,Karlolczak,0
421533,Amiss,0
421534,Ferronel,0
421535,Arman,0
421536,Jordanson,0
421537,Dunkerly,0
421538,Covelle,1
421539,Ravillas,0
421540,Sach,0
421541,Renault,0
421542,Querree,1
421543,Stockow,0
421544,Grisard,0
421545,De Roberto,0
421546,Calton,1
421547,Beaney,0
421548,Driffield,0
421549,Wilkes,1
421550,Godfroy,1
421551,Brydon,1
421552,Stango,0
421553,Roxby,1
421554,Gorst,0
421555,Eustes,1
421556,Bryce,0
421557,Haliday,1
421558,Kingsman,0
421559,McQuirk,1
421560,Errington,0
421561,Rosie,0
421562,Kasperski,1
421563,Tissiman,1
421564,Rennock,0
421565,Hurley,0
421566,Glanvill,0
421567,Spellman,1
421568,Milius,0
421569,Cargo,1
421570,Down,0
421571,Ackrill,0
421572,Collier,0
421573,Woodeson,1
421574,Phare,0
421575,Geaves,1
421576,Kinze,1
